ID,HUM,SBS,ACP,CS,QR,NUT
0,0,0,0,0,0,0
1,1,0,0,0,0,0
2,0,1,0,0,0,0
3,0,0,1,0,0,0
4,0,0,0,1,0,0
5,0,0,0,0,1,0
6,0,0,0,0,0,1
7,1,1,0,0,0,0
8,1,0,1,0,0,0
9,1,0,0,1,0,0
10,1,0,0,0,1,0
11,1,0,0,0,0,1
12,0,1,1,0,0,0
13,0,1,0,1,0,0
14,0,1,0,0,1,0
15,0,1,0,0,0,1
16,0,0,1,1,0,0
17,0,0,1,0,1,0
18,0,0,1,0,0,1
19,0,0,0,1,1,0
20,0,0,0,1,0,1
21,0,0,0,0,1,1
22,1,1,1,0,0,0
23,1,1,0,1,0,0
24,1,1,0,0,1,0
25,1,1,0,0,0,1
26,1,0,1,1,0,0
27,1,0,1,0,1,0
28,1,0,1,0,0,1
29,1,0,0,1,1,0
30,1,0,0,1,0,1
31,1,0,0,0,1,1
32,0,1,1,1,0,0
33,0,1,1,0,1,0
34,0,1,1,0,0,1
35,0,1,0,1,1,0
36,0,1,0,1,0,1
37,0,1,0,0,1,1
38,0,0,1,1,1,0
39,0,0,1,1,0,1
40,0,0,1,0,1,1
41,0,0,0,1,1,1
42,1,1,1,1,0,0
43,1,1,1,0,1,0
44,1,1,1,0,0,1
45,1,1,0,1,1,0
46,1,1,0,1,0,1
47,1,1,0,0,1,1
48,1,0,1,1,1,0
49,1,0,1,1,0,1
50,1,0,1,0,1,1
51,1,0,0,1,1,1
52,0,1,1,1,1,0
53,0,1,1,1,0,1
54,0,1,1,0,1,1
55,0,1,0,1,1,1
56,0,0,1,1,1,1
57,1,1,1,1,1,0
58,1,1,1,1,0,1
59,1,1,1,0,1,1
60,1,1,0,1,1,1
61,1,0,1,1,1,1
62,0,1,1,1,1,1
63,1,1,1,1,1,1
