YearTerm,Primary Instructor,CourseFull,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
2023-su,"Simmons, Takila C",SOCW 451,18,2,0,1,0,2,0,0,0,0,0,0,0,0
2023-su,"Tomkin, Jonathan H",ESE 360/ENGL 360,0,4,1,5,0,2,2,1,2,1,0,4,4,0
2023-su,"Hutchens, Matthew",ACCY 550,8,7,5,0,2,0,0,0,0,0,0,0,0,0
2023-su,"Silverman, Helaine I",ANTH 209,16,6,0,1,1,0,0,0,0,0,0,0,2,0
2023-su,"Hetrick, Laura",ART 100,3,11,2,1,3,0,0,1,0,0,0,0,1,0
2023-su,"Bergmark, Jennifer L",ART 140,3,4,3,0,1,0,1,1,0,0,0,0,9,0
2023-su,"Amiri, Banafsheh",DANC 100,9,10,1,0,3,1,0,2,0,0,0,0,2,1
2023-su,"DiIanni, Isaac",ECON 102,31,30,25,11,9,3,3,2,2,0,0,0,0,0
2023-su,"Barnett, Bernice M",EPOL 409,7,5,6,2,1,1,0,0,0,0,0,0,0,0
2023-su,"Burbules, Nicholas C",EPOL 480,0,21,8,1,1,0,0,0,0,0,0,0,0,0
2023-su,"Cope, William",EPOL 534,16,4,0,1,0,0,0,0,0,0,0,0,0,0
2023-su,"Rogovoy, Anna P",DANC 100,10,16,5,2,0,1,1,1,1,1,0,0,1,0
2023-su,"Rijo Sanchez, Amaury J",GWS 275/AAS 275,9,8,1,1,1,0,0,1,1,0,0,0,1,0
2023-su,"Leroy, Michael H",LER 522,2,18,1,1,0,0,0,0,0,0,0,0,0,0
2023-su,"Eagen-Jones, Megan K",MUS 132,111,80,29,16,14,8,6,6,0,3,6,0,6,0
2023-su,"Silvers, Michael B",MUS 133,142,14,0,0,1,0,0,2,0,0,0,0,1,0
2023-su,"Shenouda, Christine K",PSYC 100,4,7,6,3,5,2,1,4,1,0,1,0,3,0
2023-su,"Moussawi, Ghassan",SOC 101,8,8,1,1,1,0,2,2,3,0,2,0,1,0
2023-su,"Atiles Osoria, Jose M",SOC 310,23,4,3,2,0,1,0,0,1,0,0,0,2,0
2023-su,"Cintron, Valerie",SOCW 451,20,5,1,1,0,0,0,0,0,0,0,0,0,0
2023-su,"Betts-Green, Crystal D",IS 403,24,3,0,0,0,1,0,0,0,0,0,0,0,0
2023-sp,"Angrave, Lawrence",CS 341,101,108,23,13,6,3,9,4,3,0,3,2,4,2
2023-sp,"Kani, Nickvash",CS 374/ECE 374,22,48,47,27,20,7,0,5,4,4,1,1,8,1
2023-sp,"Chekuri, Chandra S",CS 374/ECE 374,39,105,46,41,25,48,26,25,14,7,6,11,7,3
2023-sp,"Liu, Hongye",CS 361/STAT 361,112,66,48,35,23,16,8,11,5,2,2,1,6,2
2023-sp,"Silva, Mariana T",CS 357/MATH 357,22,195,57,37,27,17,14,13,12,5,6,4,1,2
2023-sp,"Woodley, Michael J",CS 222,0,308,28,13,6,4,0,0,1,0,0,0,3,0
2023-sp,"Fagen-Ulmschnei, Wade A",CS 340,26,61,21,17,8,4,7,2,2,0,4,0,10,0
2023-sp,"Solomon, Brad R",CS 277,6,5,1,3,7,3,1,2,1,0,0,0,0,0
2023-sp,"Herman, Geoffrey L",CS 233,51,258,12,3,38,3,2,9,2,0,4,0,4,1
2023-sp,"Evans, Graham C",CS 225,10,372,61,45,43,27,23,23,14,8,11,6,29,3
2023-sp,"Gertner, Yael",CS 403,6,7,4,2,3,4,1,0,0,0,0,0,0,0
2023-sp,"Williams, Tiffani L",CS 402,7,11,1,4,0,1,0,0,0,0,1,0,0,0
2023-sp,"Fletcher, Christopher W",CS 433/CSE 422,4,13,10,3,2,4,0,1,1,0,0,0,0,0
2023-sp,"Alawini, Abdussalam A",CS 411,14,327,59,18,8,9,3,6,7,1,0,0,2,0
2023-sp,"Chang, Kevin C",CS 411,123,175,12,12,3,6,0,0,3,0,1,0,0,1
2023-sp,"Han, Jiawei",CS 412,29,53,23,17,15,3,0,2,0,0,0,0,2,1
2023-sp,"Tong, Hanghang",CS 412,9,70,43,37,26,8,4,4,0,0,2,0,1,1
2023-sp,"Shaffer, Eric G",CS 415,19,82,10,7,5,5,0,5,4,0,0,0,0,0
2023-sp,"Tychonievich, Luther A",CS 418/CSE 427,11,50,7,3,6,3,4,1,2,1,2,1,13,3
2023-sp,"Kanakagiri, Raghavendra",CS 420/CSE 402/ECE 492,9,16,10,5,1,0,0,0,0,0,0,0,0,0
2023-sp,"Gunter, Elsa",CS 421,106,133,33,26,24,17,9,13,10,9,7,6,14,0
2023-sp,"Mittal, Radhika",CS 425/ECE 428,13,25,36,26,26,17,14,3,6,3,1,0,3,1
2023-sp,"Sha, Lui R",CS 431,11,9,6,1,2,0,0,0,0,0,0,0,0,0
2023-sp,"Cunningham, Ryan M",CS 210,2,40,8,6,7,2,0,1,0,0,0,0,0,0
2023-sp,"Caesar, Matthew C",CS 437,115,62,11,4,4,3,0,0,0,0,2,0,1,0
2023-sp,"Cunningham, Ryan M",CS 211,5,73,11,11,8,2,0,6,0,0,1,0,1,0
2023-sp,"Martin, Nicolas F",CPSC 241,2,2,6,5,5,4,1,0,0,0,0,0,0,0
2023-sp,"Delgosha, Payam",CS 173,24,87,68,55,67,41,27,19,13,20,7,8,9,4
2023-sp,"Cosman, Benjamin L",CS 173,38,80,61,36,41,23,14,12,13,12,6,6,10,2
2023-sp,"Ramey, Mary E",CMN 336,14,24,9,9,7,2,1,2,0,1,0,0,0,0
2023-sp,"Fields, Victoria T",CMN 340,8,3,0,0,3,4,0,0,0,2,2,0,0,0
2023-sp,"Tscholl, Gabriela",CMN 340,8,8,6,0,3,0,0,0,0,0,0,0,1,0
2023-sp,"Bigsby, Elisabeth",CMN 345,1,11,8,6,10,8,7,8,1,3,1,0,1,0
2023-sp,"Bishop, Mardia J",CMN 361,4,10,2,1,5,0,1,1,0,0,1,0,0,0
2023-sp,"Ramey, Mary E",CMN 368,5,57,6,5,17,1,2,6,0,0,2,0,2,0
2023-sp,"Finnegan, Cara A",CMN 396,1,15,5,3,2,3,1,2,0,0,1,0,0,0
2023-sp,"Harris, John L",CMN 396,0,8,5,2,8,0,1,1,0,0,0,0,0,0
2023-sp,"Melendez, Tanya",CMN 432/GWS 432/LING 432,2,6,3,1,4,6,3,0,1,0,1,0,1,0
2023-sp,"Thompson, Charee M",CMN 462,0,19,6,3,1,1,0,2,1,0,0,0,0,0
2023-sp,"Rayburn, A L",CPSC 113,0,33,0,0,22,2,0,4,1,0,0,0,3,0
2023-sp,"Bohn, Martin O",CPSC 116,0,107,0,0,6,0,0,1,0,0,0,0,1,0
2023-sp,"Margenot, Andrew J",CPSC 117,5,11,3,2,8,0,2,2,2,0,2,0,1,1
2023-sp,"Riggins, Chance",CPSC 180,16,4,0,3,2,0,0,0,0,0,0,0,0,0
2023-sp,"Schroeder, Nathan E",CPSC 212,2,9,0,3,6,3,0,13,0,0,5,0,3,0
2023-sp,"Hasegawa-Johnso, Mark A",CS 440/ECE 448,31,158,86,65,66,17,9,17,2,1,3,4,7,0
2023-sp,"Villamil, Maria B",CPSC 418,33,2,0,2,0,0,1,1,0,0,0,0,0,0
2023-sp,"Lee, DoKyoung",CPSC 499,0,10,0,2,9,0,0,1,0,0,1,0,0,0
2023-sp,"Lipka, Alexander E",CPSC 540,11,16,3,3,0,0,0,0,0,0,0,0,0,0
2023-sp,"Tahboub, Ruby",CS 101,59,403,72,32,26,16,12,8,7,6,3,1,11,1
2023-sp,"Lewis, Colleen M",CS 105,13,98,54,51,59,32,23,31,12,10,12,8,17,5
