CourseName,Description,Mean,subject
CS 598,"Credit: 2 TO 4 hours.
Course Description: Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites.
",3.788701754385965,CS
FAA 499,"Credit: 0 TO 4 hours.
Course Description: Special topics in subject areas within the College of Fine and Applied Arts intended to augment the existing curriculum.
",3.526595744680851,FAA
LA 314/ARCH 314,"Credit: 4 hours.
Course Description: Analysis of the development of landscape architecture as a result of environmental and cultural influences.
",3.3099908003679857,LA
IS 310/INFO 310,"Credit: 3 hours.
Course Description: Explores use and application of technology to scholarly activity in the humanities, including projects that put classic texts on the web or create multimedia application on humanities topics.
Prerequisite: Sophomore standing.",3.1156521739130434,IS
CHLH 594,,3.70047619047619,CHLH
ECE 365,"Credit: 3 hours.
Course Description: Project-based course focused on exploring and understanding how data are collected, represented and stored, and computed/analyzed upon to arrive at appropriate and meaningful interpretation. Foundations of machine learning are developed and then applied in the context of two specific application areas, such as social network analytics, biological data analysis, and auto and video analytics.
Prerequisite: ECE 313.",3.489398907103825,ECE
CEE 598,"Credit: 1 TO 4 hours.
Course Description: Subject offerings of new and developing areas of knowledge in civil and environmental engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites.
",3.693076923076923,CEE
ENG 198,"Credit: 1 to 4 hours.
Course Description: Subject offerings of new and developing areas of knowledge in engineering intended to augment the existing curriculum. See Class Schedule or college course information for topics and prerequisites.
",3.597461538461539,ENG
DANC 166,,3.6680952380952383,DANC
ASRM 410,"Credit: 3 OR 4 hours.
Course Description: An introduction to financial models and their applications to investment and financial markets. Topics include derivative markets, derivatives pricing, interest rate models, dynamic hedging and other risk management techniques.
Prerequisite: Credit or concurrent registration in ASRM 402 or STAT 410.",3.370995850622407,ASRM
MUS 408,"Credit: 3 hours.
Course Description: Extensive study of the formal structure of representative musical compositions from various historical periods: (a) Renaissance and Baroque; (b) Viennese classical; (c) nineteenth century; (d) first half of twentieth century; and (e) since World War II.
Prerequisite: MUS 202 and MUS 208.",3.6525,MUS
INFO 490,"Credit: 1 to 4 hours.
Course Description: Topics of current interest.
Prerequisite: Consent of instructor. Other prerequisites as specified for each topic offering. See Class Schedule.",3.484193548387097,INFO
ARTJ 101,"Credit: 2 hours.
Course Description: Experience and practice a sampling of Japanese arts.
",3.65047619047619,ARTJ
IS 551,"Credit: 4 hours.
Course Description: Theory and techniques in planning, implementing and evaluating library programs/services for youth (age 0-18) in public and school libraries/media centers; the knowledge base, skills, and competencies needed by the library media professional in the development of all aspects of young people's reading/viewing/listening and information literacy skills.
",3.633478260869565,IS
PS 340,,3.10972602739726,PS
BTW 285,"Credit: 3 hours.
Course Description: Students will build a professional online web presence and familiarize themselves with social media management. Explores how principles of effective composition and writing as a process interact with different, increasingly popular digital media. In addition to hands-on activities and practice with digital design and web development techniques, students will create social media campaigns, write reports that visualize data, and analyze the diverse audiences that make up the internet.
Prerequisite: Composition I.",3.6665217391304346,BTW
CHBE 458,"Credit: 3 hours.
Course Description: Study of the concepts related to the fundamentals and practical methods for the preparation of nanostructured materials. Classical nucleation and growth, interfacial science, crystal structures, and characterization techniques are among some of the topics covered. The emphasis will be placed on the processing controls of size, shape (dot, wire, and two-dimensional materials), facet, composition, and hierarchical structure. Students will also be exposed to related current topics, including the applications of nanoparticles in energy, sustainability, and biotechnology.
Prerequisite: CHEM 102 and CHEM 104 or equivalents.",3.505625,CHBE
MUS 103,,3.1818421052631582,MUS
BUS 199,"Credit: 0 TO 5 hours.
Course Description: 
",3.702972972972973,BUS
ESE 360/ENGL 360,"Credit: 3 hours.
Course Description: Equips students to write about the environment for various audiences, with a focus on specific current efforts to promote sustainability on the Urbana-Champaign campus. We will practice effective techniques for each stage of the writing process-from defining topics, to gathering information, to crafting active, engaging prose. Readings will include models of effective environmental writing and ""how to"" pieces by experts. Research will include visits to campus sites and student-conducted interviews with subjects.
Prerequisite: Completion of campus Composition I general education requirement.",3.1464778325123146,ESE
ENGL 280/GWS 280,"Credit: 3 hours.
Course Description: Study of British and American women authors.
Prerequisite: Completion of the Composition I requirement.",3.4536134453781515,ENGL
SHS 574,"Credit: 2 hours.
Course Description: This is a graduate-level course on foundational issues in autism spectrum disorder (ASD) for speech-language pathologists and other professionals. It is intended to prepare them to understand this neurodevelopmental disorder and serve this unique population as key team members in assessment and intervention. Ninety percent of school-based professionals serve students with ASD. Content areas include diagnostic criteria (signs & symptoms), etiology, language and communication patterns, assessment, and interventions for individuals with ASD.
Prerequisite: Restricted to Graduate Students.",3.720967741935484,SHS
AE 502,"Credit: 4 hours.
Course Description: Circular-restricted three-body problem; surfaces of zero velocity, libration points, and halo orbits; perturbed two-body motion; Gauss and Lagrange planetary equations, Hamilton's principle, canonical equations and Delaunay variables; application to artificial Earth satellites; orbit determination.
Prerequisite: AE 402.",3.666875,AE
ECON 504,,3.774642857142857,ECON
GER 465,"Credit: 3 hours.
Course Description: Linguistic analysis of Germanic languages in historical, geographic, and social context. Taught in German or English, depending on topic.
Prerequisite: When the course is taught in English, there are no prerequisites. When the course is taught in German, the recommendation is GER 212 or consent of the instructor.",3.623913043478261,GER
SOC 396,"Credit: 3 hours.
Course Description: Explores topics not covered in regularly scheduled Sociology courses. See Class Schedule for topics.
Prerequisite: One of the following: SOC 100, SOC 101, SOC 163, or consent of instructor.",3.803061224489796,SOC
IS 565,"Credit: 2 hours.
Course Description: This course will introduce the student to the principles, practices and standards for information representation and organization in school media centers. Course content will include an introduction to original cataloging of non-standard materials (such as realia and audiovisual materials), evaluation of bibliographic records, exposure to authority control and subject access systems with a special focus on the Dewey Decimal System and Sears Subject Headings. The course will also provide an overview and exploration of different library systems/OPACS.
",3.9722222222222223,IS
CPSC 480,"Credit: 3 hours.
Course Description: Designed to provide students with an understanding of the cannabis classification system and proper management practices for target compounds and products. Understanding cannabis biology and taxonomic classification is critical for proper management practices for the production of essential oils, psychoactive compounds, fiber, and seed oil and protein, and applications of those products. Discrepancies between scientific and vernacular names of cannabis and the inconsistency of vernacular names mislead producers and consumers. This course will discuss the taxonomy and vernacular nomenclature of cannabis and cannabis biology will be discussed based on individual subspecies. The subspecies classification will be necessary for proper management practices and harvesting of target compounds and products.
Prerequisite: Students are expected to have basic knowledge of plant biology or consent of instructor.",3.169152542372881,CPSC
JOUR 200,"Credit: 3 hours.
Course Description: Discussion of the history, freedom, technologies, ethics, and functions of the news media. Training in clear, descriptive writing techniques, using journalistic models.
",3.29587449255751,JOUR
CPSC 415,"Credit: 3 hours.
Course Description: Provides an overview and understanding of biomass feedstock production systems for sustainable biofuels production.
Prerequisite: CPSC 112 or consent of instructor.",3.765438596491228,CPSC
INFO 407,"Credit: 3 hours.
Course Description: For students who want to learn about solving problems common in data sciences but have little or no programming experience. The class is asynchronous (students can access material on-line but within specified timeframes) and taught online. Data Science lies at the intersection of statistics and computer science and focuses on extracting information from data. This class will immerse students on topics of software construction, design, programming paradigms and the semantic and syntax of the Python language and then focus on some of the necessary workflows to move raw data into information. The class will explore common Python modules (libraries) used in data science, natural language processing, statistics, mathematics, data management (acquiring, cleaning, reshaping, organizing, persisting) and visualizations.
",3.584691780821918,INFO
HIST 346/MDVL 346/REL 346,,3.338051948051948,HIST
SPAN 318,"Credit: 3 hours.
Course Description: A critical analysis of historical events, institutions, artistic production, symbols and values representative of Spanish (Iberian) cultures. Particular emphasis on the relationship between specific cultural practices and/or values and the construction of national identities prior to 1700. Instruction in Spanish unless otherwise noted.
Prerequisite: SPAN 228 or consent of instructor.",3.82695652173913,SPAN
ENGL 455,"Credit: 3 OR 4 hours.
Course Description: Intensive study of the work of one or two major authors.
Prerequisite: One year of college literature or consent of instructor.",3.4885714285714284,ENGL
CI 541,,3.6109859154929578,CI
ECON 522,,3.523655172413793,ECON
CMN 375,"Credit: 3 hours.
Course Description: Using the critical lens of theories on race, class, gender, and sexuality, this class will investigate the complicated relations among popular media and culture, including how our everyday life and attitudes are thought to be shaped by the media, and how cultural systems can be said to inform the media. By exploring a wide range of media (e.g., film, television, music, the internet, and computer games), students will investigate the national, political, and personal dimensions of popular media and the varied ways in which media construct, reflect and intersect with specific cultural systems, identities, and classifications.
",3.132181818181818,CMN
ECE 536,,3.764166666666666,ECE
JOUR 315,"Credit: 4 hours.
Course Description: Study and extensive practice of in-depth public affairs reporting - its concepts, techniques, traditions, ethics, and social obligations.
Prerequisite: JOUR 210.",3.683333333333333,JOUR
ARTH 211,"Credit: 3 hours.
Course Description: The historical, social and cultural context of design concentrating on manufactured products, communication, media and design from the Industrial Revolution to the present. Lectures, seminars and individual research projects.
",3.345749354005168,ARTH
AFRO 199,"Credit: 1 to 5 hours.
Course Description: 
",3.695243902439025,AFRO
REL 270,,3.4528571428571424,REL
SPAN 200,"Credit: 3 hours.
Course Description: Readings and discussion in Spanish of a variety of texts by leading Hispanic and Hispanic-American writers covering genres and themes; designed to emphasize reading, discussion, and enjoyment rather than literary criticism. Instruction in Spanish. Credit may be received through Spanish Advanced Placement Language or Spanish Literature examinations.
Prerequisite: SPAN 141, SPAN 142, equivalent or consent of instructor.",3.335669781931464,SPAN
PSYC 336,"Credit: 3 hours.
Course Description: Survey and critical review of subdisciplines in clinical/community psychology; concepts, methods, and assessments, intervention strategies and tactics. Subdisciplines addressed will vary. See Class Schedule for current titles.
Prerequisite: PSYC 238 or PSYC 239 or both depending on topic.",3.321185185185185,PSYC
REHB 402,"Credit: 4 hours.
Course Description: Examination of the scope of physical, mental and cognitive disabilities, their causes, complications, and treatment.
",3.457898686679175,REHB
GGIS 103,"Credit: 4 hours.
Course Description: A basic introduction to the environmental systems of the Earth's surface, including landforms, soils, and ecosystems and how these systems are affected by global change. Emphasizes the importance of human-Earth relations and a holistic view of environmental systems.
",3.553297872340426,GGIS
MSE 461,,3.5639378238341965,MSE
ANSC 499,"Credit: 1 TO 4 hours.
Course Description: Group discussion or an experimental course on a special topic in animal sciences.
",2.814814814814815,ANSC
PHIL 101,"Credit: 3 hours.
Course Description: Consideration of some main problems of philosophy concerning, for example, knowledge, God, mind and body, and human freedom.
",3.0797014143530648,PHIL
CS 457,,2.6254166666666667,CS
ACE 255,"Credit: 3 hours.
Course Description: Access to food and a healthy environment varies across rural/urban location, race, gender, and income in the U.S. Students in this course will analyze questions of ""food justice"" and ""environmental justice"" through the lens of economic theory. Students will learn important concepts in the scholarship of minority cultures, learn facts about how food security and experience of environmental quality varies among groups in the U.S., and learn how to use economic theory to understand those patterns and analyze policies to correct inequities.
",3.144444444444444,ACE
BADM 576,"Credit: 4 hours.
Course Description: In this course, you will learn not only data analytic techniques but also the managerial implications of competing with analytics. You will understand the managerial challenges of using data analytics to develop a strategic advantage through readings and case studies. You will learn techniques such as statistical inference, linear modeling, sentiment analytics, and data mining through hands-on exercises in R. R is an open source language that has grown in importance and usage in corporations. Finally, you will be able to present and interpret data through an understanding of data visualization techniques.
",3.7952307692307694,BADM
INFO 310,"Credit: 3 hours.
Course Description: 
",3.0377777777777784,INFO
CEE 492,"Credit: 3 OR 4 hours.
Course Description: Students will learn to leverage data to study civil and environmental engineering problems, identify patterns, and make actionable insights. This course includes training in computational thinking and exploratory data analysis; data processing techniques including singular value decomposition, principal component analysis, and Fourier and wavelet transforms; and machine learning techniques including k-means, classification trees, neural networks, and neural differential equations. Students are required to bring a laptop computer to class.
Prerequisite: CS 101; CEE 202; and CEE 300, CEE 330, or CEE 360.",3.659069767441861,CEE
PHYS 550/BIOP 550/MCB 550,,3.542962962962963,PHYS
IS 571,"Credit: 2 OR 4 hours.
Course Description: Variety of newly developed and advanced topics courses within the field of Use and Users of Information, intended to augment the existing Information Sciences curricula.
",3.962962962962963,IS
