Subject Code,Director,Office,Phone
AAS,Junaid Rana,"1208 West Nevada, Urbana",217-244-9530
ABE,Ronaldo Maghirang,"338 Agricultural Engineering Sciences Building, 1304 West Pennsylvania Avenue, Urbana",217-333-3570
ACCY,Michael Donohoe,"360 Wohlers Hall, 1206 South Sixth, Champaign",217-333-0857
ACE,Sean Fox,"332 Mumford Hall, 1301 West Gregory Drive, Urbana",217-333-1810
ACES,Anna Ball,"128 Mumford Hall, 1301 West Gregory Avenue, Urbana",217-333-3380
ADV,Mike Yao,"119 Gregory Hall, 810 South Wright, Urbana",217-333-1602
AE,Jonathan Freund,"306 Talbot Laboratory, 104 South Wright Street, Urbana",217-333-2651
AFRO,Merle Bowen,"1201 West Nevada, Urbana",217-333-7781
AGCM,David Rosch,"174 Bevier Hall, 950 South Goodwin Ave., Urbana",217-333-3165
AIS,Jenny L. Davis,"1204 West Nevada, Urbana",217-265-9870
ALEC,David Rosch,"174 Bevier Hall, 905 South Goodwin Avenue, Urbana, IL",217-333-3165
ANSC,Rodney Johnson,"116 Animal Sciences Laboratory, 1207 West Gregory, Urbana",217-333-3131
ANTH,Brenda Farnell,"109 Davenport Hall, 607 South Mathews, Urbana",217-333-3616
ARCH,Francisco Rodriguez-Suarez,"117 Temple Buell Hall, 611 Taft Drive, Champaign",217-333-1330
ARTD,Alan Mette,"143 Art and Design Building, 408 East Peabody, Champaign",217-333-0855
ARTE,Alan Mette,"143 Art and Design Building, 408 East Peabody, Champaign",217-333-0855
ARTH,Alan Mette,"143 Art and Design Building, 408 East Peabody, Champaign",217-333-0855
ARTJ,Alan Mette,"143 Art and Design Building, 408 East Peabody, Champaign",217-333-0855
ARTS,Alan Mette,"143 Art and Design Building, 408 East Peabody, Champaign",217-333-0855
ASRM,Jeremy Tyson,"1409 West Green, Urbana",217-333-3350
ASTR,Leslie Looney,"103 Astronomy Building, 1002 West Green, Urbana",217-333-3090
ATMS,R. Jeff Trapp,"3072 Natural History Building, 1301 W. Green Street, Urbana",217-333-2046
