Code,Director_FK
AAS,Junaid Rana
ABE,Ronaldo Maghirang
ACCY,Michael Donohoe
ACE,Sean Fox
ACES,Anna Ball
ADV,Mike Yao
AE,Jonathan Freund
AFRO,Merle Bowen
AGCM,David Rosch
AIS,Jenny L. Davis
ALEC,David Rosch
ANSC,Rodney Johnson
ANTH,Brenda Farnell
ARCH,Francisco Rodriguez-Suarez
ARTD,Alan Mette
ARTE,Alan Mette
ARTH,Alan Mette
ARTJ,Alan Mette
ARTS,Alan Mette
ASRM,Jeremy Tyson
ASTR,Leslie Looney
ATMS,R. Jeff Trapp
BADM,Carlos Torelli
BCOG,Diane Beck
BDI,Michael Donohoe
BIOC,Susan A. Martinis
BIOE,Mark Anastasio
BTW,Robert Markley
BUS,Carlos Torelli
CEE,Ana Barros
CHBE,Christopher Rao
CHEM,Catherine J. Murphy
CHLH,Dr. Kim Graber
CHP,Kristi Kuntz
CI,Sarah McCarthey
CLCV,Craig Williams
CMN,John Caughlin
CPSC,Adam Davis
CS,Nancy Amato
CW,Robert Markley
CWL,Harriett Murav
DANC,Sara Hook
EALC,Robert Tierney
ECE,Bruce Hajek
ECON,George Deltas
EDUC,Nancy Latham
EIL,James Yoon
ENG,Jonathan Makela
ENGL,Robert Markley
ENVS,Robert Rauber
EPOL,Dr. Yoon Pak
EPSY,Kiel Christianson
ERAM,Dr. Yoon Pak
ESE,Craig Lundstrom
ETMA,Ronaldo Maghirang
FAA,Nicole Turner
FIN,Louis Chan
FR,Zsuzsanna Fagyal
FSHN,Dr. Nicki Engeseth
GEOL,Craig Lundstrom
GER,Carl Neikerk
GGIS,Julie Cidell
GLBL,Ellen Moodie
GS,Dr. Daniel J. Turner
GSD,Lisa Bienvenue
GWS,Mimi Nguyen
HDFS,Dr. Ramona Oswald
HIST,Dana Rabin
HORT,Adam Davis
HRD,Dr. Yoon Pak
IB,Carla Caceres
IE,Jeff Shamma
IHLT,Dr. Kim Graber
INFO,Lisa Bievenue
IS,Ted Underwood
ITAL,Zsuzsanna Fagyal
JOUR,Mira Sotirovic
KIN,Dr. Kim Graber
LA,David L. Hays
LAS,Stephen R. Downie
LAST,Andrew Orta
LAW,Vikram David Amar
LEAD,David Rosch
LER,Fritz Drasgow
LING,James Hye Suk Yoon
LLS,Giberto Rosas
MACS,Cheryl Cole
MATH,Vera Hur
MBA,Raj Echambadi
MCB,Milan Bagchi
ME,Anthony M. Jacobi
MSE,Nancy Sottos
MUS,Dr. Jeffrey Sposato
MUSC,Dr. Jeffrey Sposato
MUSE,Susan Frankenberg
NPRE,Rizwan Uddin
NRES,Robert Schooley
PHIL,Robin kar
PHYS,Matthias Grosse-Perdekamp
PLPA,Adam Davis
POL,Valeria Sobol
PS,Thomas Rudolph
PSYC,Diane Beck
REHB,Dr. Kim Graber
REL,Jonathan Ebel
RHET,Robert Markley
RST,Dr. Carla Santos
SBC,Mike Yao
SCAN,Carl Neikerk
SE,Jeff Shamma
SHS,Pamela Hadley
SOC,Reuben May
SOCW,Steven Anderson
SPAN,Melissa Bowles
SPED,Hedda Meadan-Kaplansky
STAT,Bo Li
TAM,Anthony M. Jacobi
TE,Andrew Singer
THEA,Valleri Robinson
UP,Rolf Pendall
VCM,Dennis French
VM,Jonathan Foreman
ART,Alan Mette
AHS,Cheryl Hanley-Maxwell
ARTF,Alan Mette
BCS,Valeria Sobol
BIOP,Satish Nair
KOR,Robert Tierney
MDIA,Office
MILS,Daniel W. Johnson
NUTR,Elvira de Mejia
PATH,"Raymond ""Bob"" Rowland"
PORT,Melissa Bowles
PSM,Wojtek Choczko-Zajko
SLAV,David Cooper
SLCL,Jean-Philippe Mathy
UKR,Valeria Sobol
ARAB,James Yoon
ENSU,Robert Rauber
EURO,Emanuel Rota
GEOG,Shaowen Wang
RSOC,Dr. Ramona Oswald
RUSS,Valeria Sobol
TRST,Joyce Tolliver
TSM,Alan C. Hansen
AFST,Teresa Barnes
CHIN,Robert Tierney
DTX,Cele Otnes
EPS,Dr. Yoon Pak
EOL,Dr. Yoon Pak
AGED,David Rosch
JS,Eugene Avrutin
YDSH,Carl Neikerk
GCL,Office of the Provost
NS,David Casteel
JAPN,Robert Tierney
REES,John Randolph
GRKM,Craig Williams
RLST,Valerie Hoffman
LAT,Craig Williams
SAME,Wail Hassan
SCR,Michael Finke
SWAH,James Yoon
AVI,Tom Emanuel
HRE,Dr. James Anderson
HNDI,James Yoon
CB,Dr. Uwe Rudolph
CINE,Angharad Valdivia
ESL,James Yoon
MS,Angharad Valdivia
VB,Duncan C. Ferguson
